lm0_x,lm0_y,lm0_z,lm1_x,lm1_y,lm1_z,lm2_x,lm2_y,lm2_z,lm3_x,lm3_y,lm3_z,lm4_x,lm4_y,lm4_z,lm5_x,lm5_y,lm5_z,lm6_x,lm6_y,lm6_z,lm7_x,lm7_y,lm7_z,lm8_x,lm8_y,lm8_z,lm9_x,lm9_y,lm9_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z,label
0.0,0.0,0.0,-0.07987836003303528,-0.019540011882781982,-0.01437829851619199,-0.14013320207595825,-0.07525962591171265,-0.02453931837789014,-0.1382395625114441,-0.15561240911483765,-0.0385730289619346,-0.09630945324897766,-0.213489830493927,-0.04827392704299882,-0.1292668879032135,-0.15082207322120667,0.010899636452279537,-0.1673109531402588,-0.2019568383693695,-0.023120610485591442,-0.14763879776000977,-0.14100822806358337,-0.04129541523269609,-0.12863558530807495,-0.12202149629592896,-0.04930920011810258,-0.09343719482421875,-0.17759114503860474,0.0031087221812526877,-0.1291668713092804,-0.22689521312713623,-0.03205463893226579,-0.1111556887626648,-0.15259376168251038,-0.0383237995903869,-0.09250491857528687,-0.1416744887828827,-0.03226552761606172,-0.05389600992202759,-0.19504082202911377,-0.011569639178730995,-0.08740907907485962,-0.24042317271232605,-0.045743259112157375,-0.07380175590515137,-0.15939661860466003,-0.03397181115559533,-0.056502342224121094,-0.14421212673187256,-0.014934277604140789,-0.007400870323181152,-0.20640870928764343,-0.028412009100236446,-0.04732349514961243,-0.2263914942741394,-0.044401238183297664,-0.04124215245246887,-0.16590672731399536,-0.031038538063683063,-0.02514749765396118,-0.14959359169006348,-0.015078066359080822,0
0.0,0.0,0.0,-0.07227832078933716,0.010249972343444824,-0.026898751585633818,-0.15577125549316406,-0.0347176194190979,-0.03629019538954026,-0.21976345777511597,-0.07053083181381226,-0.04460979308083779,-0.2715947926044464,-0.06617599725723267,-0.052572105630190435,-0.1416972279548645,-0.19679298996925354,-0.010616842276306215,-0.19404074549674988,-0.27044519782066345,-0.0214884603311134,-0.2229594588279724,-0.3164704740047455,-0.03164551462128884,-0.2448912262916565,-0.3550434708595276,-0.04075623731210953,-0.10091802477836609,-0.23940283060073853,-0.013207146516890589,-0.13860422372817993,-0.3423983156681061,-0.019268202214391295,-0.15907049179077148,-0.40332964062690735,-0.02659250850871331,-0.17431297898292542,-0.4486706852912903,-0.032844964965136114,-0.05476945638656616,-0.2564827799797058,-0.021118417932541433,-0.07426077127456665,-0.3583676815032959,-0.03537146802142388,-0.08331769704818726,-0.41775423288345337,-0.04639621133998162,-0.09246933460235596,-0.4660116136074066,-0.05440956409171349,-0.006584286689758301,-0.25225934386253357,-0.03210488016799218,0.006603360176086426,-0.3282182216644287,-0.049305517776758734,0.015230715274810791,-0.3798201382160187,-0.05844175870612389,0.020507991313934326,-0.4260864853858948,-0.06446453983977563,1
0.0,0.0,0.0,-0.054030418395996094,-0.018296897411346436,-0.008145704961322053,-0.09448510408401489,-0.07672244310379028,-0.011187058969341024,-0.11408627033233643,-0.12993156909942627,-0.016151862314842447,-0.14195513725280762,-0.1657506823539734,-0.020681012517712816,-0.09751632809638977,-0.15253007411956787,0.016522135489680068,-0.12289729714393616,-0.18441647291183472,0.002046938656889097,-0.14559543132781982,-0.19404393434524536,-0.016283379963539346,-0.16669118404388428,-0.1966710090637207,-0.03047910528530906,-0.07219737768173218,-0.17408382892608643,0.009576343835391299,-0.10324525833129883,-0.21059131622314453,-0.004545400480679973,-0.1285342276096344,-0.2160438895225525,-0.022094830966494783,-0.15505456924438477,-0.21263039112091064,-0.03488495582988094,-0.04450976848602295,-0.17989104986190796,-0.0014650026363653978,-0.07131043076515198,-0.22871142625808716,-0.018280809841058954,-0.09826242923736572,-0.231803297996521,-0.03130109245230983,-0.12448808550834656,-0.22105973958969116,-0.039586722946665986,-0.012352049350738525,-0.17328083515167236,-0.013842077090345128,-0.04131519794464111,-0.2010585069656372,-0.03177784392883609,-0.06788736581802368,-0.20266598463058472,-0.041986927485965,-0.09433639049530029,-0.19504904747009277,-0.04806963736464809,2
0.0,0.0,0.0,-0.055671870708465576,-0.005521655082702637,-0.02746103722671478,-0.10015183687210083,-0.05357128381729126,-0.04529816489736049,-0.09727293252944946,-0.1169811487197876,-0.06483638864079921,-0.09055125713348389,-0.17137444019317627,-0.08247911017457454,-0.1293441653251648,-0.19499313831329346,-0.023998104222812344,-0.1793910264968872,-0.26543769240379333,-0.048190014623799016,-0.21234577894210815,-0.31037747859954834,-0.06478778850356548,-0.23905420303344727,-0.3503968119621277,-0.07674400340835064,-0.0886726975440979,-0.2246260643005371,-0.03178666364470928,-0.11539679765701294,-0.33952614665031433,-0.05808063428918331,-0.13618287444114685,-0.40588098764419556,-0.0781534818939349,-0.1490178108215332,-0.46312233805656433,-0.09030411969939678,-0.04409527778625488,-0.22028470039367676,-0.0430381504825732,-0.06266927719116211,-0.28163379430770874,-0.07878531348029583,-0.07048845291137695,-0.21819138526916504,-0.0850550441078326,-0.06921714544296265,-0.1698111891746521,-0.08029199969092815,1.996755599975586e-05,-0.195323646068573,-0.05652535166660755,-0.020156025886535645,-0.23711609840393066,-0.08257631789962261,-0.03144651651382446,-0.20135736465454102,-0.08068081568995922,-0.03355300426483154,-0.1712932586669922,-0.07368204575101345,3
0.0,0.0,0.0,-0.0768430233001709,-0.009376168251037598,-0.014894292639894502,-0.14144176244735718,-0.06897938251495361,-0.022728485005302446,-0.13963958621025085,-0.15437456965446472,-0.03389468877236368,-0.09960505366325378,-0.21272078156471252,-0.03930920450608255,-0.1400301456451416,-0.15227064490318298,0.00891570006837128,-0.17672380805015564,-0.20113977789878845,-0.026020831378502862,-0.1511261761188507,-0.13540172576904297,-0.0420462162665558,-0.13188403844833374,-0.11859536170959473,-0.04835323332468988,-0.10291862487792969,-0.18034958839416504,0.0011936905129346087,-0.13754773139953613,-0.22812896966934204,-0.033676520871324556,-0.11420375108718872,-0.14794069528579712,-0.03581852926532747,-0.09697094559669495,-0.1418723464012146,-0.02675466513852598,-0.06189382076263428,-0.19771575927734375,-0.013803456859989183,-0.09207111597061157,-0.23746365308761597,-0.04752022861163141,-0.07436013221740723,-0.15344354510307312,-0.03189151449720384,-0.0588107705116272,-0.14501720666885376,-0.010560695963306443,-0.013873875141143799,-0.20985987782478333,-0.03123701451937677,-0.0506322979927063,-0.22988739609718323,-0.045417890834016816,-0.04312103986740112,-0.1689201295375824,-0.029551177235646264,-0.02876228094100952,-0.15672063827514648,-0.012226701664133088,0
0.0,0.0,0.0,-0.07770264148712158,-0.033176302909851074,-0.00954678741271664,-0.13220539689064026,-0.09891140460968018,-0.018027392150713695,-0.13154089450836182,-0.1760040521621704,-0.0315924444514053,-0.09908416867256165,-0.23645168542861938,-0.0397745379524963,-0.10640853643417358,-0.19078949093818665,0.01525885804568361,-0.14401963353157043,-0.23849380016326904,-0.020082701863600505,-0.12805351614952087,-0.16712436079978943,-0.03621199813659359,-0.10786476731300354,-0.15448108315467834,-0.04267155093128849,-0.07102459669113159,-0.2062755823135376,0.004647092027710187,-0.10847043991088867,-0.25577312707901,-0.031181381018711818,-0.09640517830848694,-0.17094683647155762,-0.03366733056481053,-0.07679176330566406,-0.16801303625106812,-0.02509374630625416,-0.03187435865402222,-0.21362972259521484,-0.013143582204236282,-0.07003587484359741,-0.25498297810554504,-0.04909194719965626,-0.0601518452167511,-0.1677602231502533,-0.033040949078156245,-0.038741111755371094,-0.161918044090271,-0.011362312296284927,0.014231443405151367,-0.21554994583129883,-0.0326690347212093,-0.031633734703063965,-0.23902851343154907,-0.04940513980562855,-0.028847455978393555,-0.17658668756484985,-0.03386307221825291,-0.008099615573883057,-0.1646919846534729,-0.01633420673186947,0
0.0,0.0,0.0,-0.07593488693237305,-0.04134666919708252,-0.0065176148629007,-0.12573140859603882,-0.1073046326637268,-0.015085647041928496,-0.1294178068637848,-0.18251630663871765,-0.029692966650259223,-0.09905871748924255,-0.24041172862052917,-0.03919490815235349,-0.09407064318656921,-0.20114630460739136,0.01924395359026221,-0.1316763162612915,-0.24862557649612427,-0.015171853984725203,-0.1195266842842102,-0.17690148949623108,-0.030650822605025496,-0.09862461686134338,-0.16327723860740662,-0.03653206692172262,-0.059623897075653076,-0.21400567889213562,0.007079167132246766,-0.09957358241081238,-0.2609310746192932,-0.028984151939880576,-0.09056732058525085,-0.17729723453521729,-0.03172362239195081,-0.06972837448120117,-0.17350828647613525,-0.022796396325361457,-0.022749364376068115,-0.21882832050323486,-0.01215460446758243,-0.06450450420379639,-0.25685352087020874,-0.04750910789800855,-0.05743163824081421,-0.1721813976764679,-0.03333282486630651,-0.03428971767425537,-0.16645699739456177,-0.012882574620675769,0.020056307315826416,-0.2171432077884674,-0.03279642404152128,-0.029386520385742188,-0.2381746470928192,-0.04823708177639219,-0.028484821319580078,-0.17961981892585754,-0.03425236807299825,-0.006496012210845947,-0.1693989634513855,-0.018045423711669173,0
0.0,0.0,0.0,-0.07240071892738342,-0.06528139114379883,-0.0004037560412371022,-0.10884681344032288,-0.13032686710357666,-0.00757563081981516,-0.120114266872406,-0.18714240193367004,-0.02137725581826544,-0.09446990489959717,-0.22940796613693237,-0.0289670207113204,-0.04365271329879761,-0.24128517508506775,0.02998014757929468,-0.09940177202224731,-0.2608470320701599,0.0010560311801555144,-0.09175112843513489,-0.19283172488212585,-0.01716674459578371,-0.06560295820236206,-0.18027645349502563,-0.027665918371098996,-0.01668715476989746,-0.24590632319450378,0.015595737235230445,-0.08163070678710938,-0.25998443365097046,-0.019768949276226522,-0.07074841856956482,-0.18327295780181885,-0.026816587573307515,-0.04064673185348511,-0.17699375748634338,-0.022371153956669332,0.007406651973724365,-0.2440062165260315,-0.0048243418842730534,-0.06383046507835388,-0.2538226246833801,-0.03605080177487707,-0.055972903966903687,-0.176955908536911,-0.025045642307418348,-0.025316298007965088,-0.16891860961914062,-0.00878186212332821,0.02776104211807251,-0.2299448549747467,-0.02710572225453234,-0.04314446449279785,-0.22781482338905334,-0.04467060198487616,-0.03898423910140991,-0.17577603459358215,-0.037406114539521695,-0.011228680610656738,-0.1665167212486267,-0.025822687572258474,0
0.0,0.0,0.0,-0.07334393262863159,-0.06001216173171997,-0.0036121247758273967,-0.11054849624633789,-0.13462918996810913,-0.012743105362460483,-0.12891638278961182,-0.18919795751571655,-0.026357419970736373,-0.11009332537651062,-0.22336018085479736,-0.0322128573388909,-0.012843430042266846,-0.25518351793289185,0.022090764534368645,-0.0931859016418457,-0.2656051516532898,-0.007212022501335014,-0.08812221884727478,-0.19606035947799683,-0.028320614430413116,-0.060675740242004395,-0.18576237559318542,-0.04237024876783835,0.008018076419830322,-0.259982705116272,0.008809339073195588,-0.0907261073589325,-0.26289498805999756,-0.025281930524215568,-0.08140969276428223,-0.1873706579208374,-0.03214457276772009,-0.0463489294052124,-0.18073776364326477,-0.030027739885554183,0.017058968544006348,-0.252959281206131,-0.010148276756808627,-0.08185532689094543,-0.2528173625469208,-0.03697573411773192,-0.07501322031021118,-0.1792750358581543,-0.025264861244068015,-0.03999596834182739,-0.17045781016349792,-0.012290717284486163,0.015182018280029297,-0.23553860187530518,-0.031956788334355224,-0.06850758194923401,-0.22057664394378662,-0.05114486459206091,-0.05981940031051636,-0.168390691280365,-0.048140328559384216,-0.02611565589904785,-0.1594742238521576,-0.04066311958740698,0
0.0,0.0,0.0,-0.08572220802307129,-0.04138869047164917,-0.013720396313715355,-0.13618901371955872,-0.10815668106079102,-0.029581881467152016,-0.16328489780426025,-0.15433943271636963,-0.04737340972189941,-0.14350712299346924,-0.17468208074569702,-0.05744475439553298,-0.050158560276031494,-0.2611125409603119,0.0026872028932984904,-0.13971394300460815,-0.2477496862411499,-0.030406534079361336,-0.12567830085754395,-0.17995911836624146,-0.05414612159495391,-0.09676623344421387,-0.17856097221374512,-0.07137618527178802,-0.027299880981445312,-0.26705411076545715,-0.008627701889622585,-0.13579648733139038,-0.24034172296524048,-0.04481171384816207,-0.11585310101509094,-0.16970151662826538,-0.05214589402442016,-0.08129888772964478,-0.17398598790168762,-0.05263717785840072,-0.016804277896881104,-0.24905651807785034,-0.02575687632327117,-0.12138336896896362,-0.21493619680404663,-0.054181210104275124,-0.10306695103645325,-0.14908504486083984,-0.04126744285588302,-0.0689692497253418,-0.15347298979759216,-0.02949414901797809,-0.017300963401794434,-0.2146180272102356,-0.04677685290937461,-0.09953233599662781,-0.16986888647079468,-0.06800737545256652,-0.08207333087921143,-0.12675505876541138,-0.06593695596222915,-0.049336016178131104,-0.13325637578964233,-0.06063810676698722,0
